,is_good_result,channel_subscribers,title_length,has_special_characters_in_title,probably_sex_words_in_title,title_longest_word_length,title_number_words,category_id,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,channel_3_standard_deviations,channel_3_mean,channel_3_entropy,channel_2_standard_deviations,channel_2_mean,channel_2_entropy,channel_1_standard_deviations,channel_1_mean,channel_1_entropy,total_standard_deviation,total_mean,total_entropy,video_error_or_removed
4376,ViewsResult.GOOD,34.0,37,False,False,8,8,24.0,2018-01-26T01:08:37.000Z,301693.0,2148.0,2908.0,1225.0,False,False,1.359011986792947,0.4444444444444444,5.851371982870398,0.9329322881758288,0.3861111111111111,7.7012159044458945,0.8672674199909609,0.3583333333333333,6.296222493442023,80.91616516056975,101.61447530864193,6.889596090905057,False
4377,ViewsResult.MEDIUM,1800000.0,43,True,False,6,8,24.0,2018-01-25T17:41:52.000Z,539065.0,18967.0,1830.0,6785.0,False,False,0.14740554623801774,0.022222222222222227,5.470515051763567,0.14740554623801774,0.022222222222222227,7.748211297355492,0.14740554623801774,0.022222222222222227,5.075604371945485,72.10029400689683,67.2033950617284,6.439459235001728,False
4378,ViewsResult.MEDIUM,1550000.0,48,False,False,9,8,10.0,2018-01-25T15:00:02.000Z,522730.0,44321.0,947.0,4902.0,False,False,0.8737910519507143,0.3805555555555555,5.752242006142428,0.9153989550537952,0.5305555555555556,7.489815676212911,0.9347170628881879,0.5638888888888889,5.938069251231504,55.8181903399265,58.13987654320989,6.681302717852937,False
4379,ViewsResult.POOR,9130000.0,49,True,False,11,8,28.0,2018-01-25T17:00:04.000Z,879677.0,25197.0,752.0,1779.0,False,False,0.6649050800167636,0.4111111111111111,5.460434383166745,0.8018304675961323,0.4611111111111112,6.929272920772807,1.0434836005857293,0.5055555555555555,4.831079934480505,105.30951801518135,147.53577160493828,5.967817769847858,False
4380,ViewsResult.POOR,654000.0,22,False,False,11,4,10.0,2018-01-26T05:00:00.000Z,60229.0,5328.0,72.0,360.0,False,False,1.0381570506086228,0.4972222222222222,4.444806649288268,1.316206553455051,0.5805555555555556,4.954926435806754,1.4929360417282975,0.6944444444444444,4.6242416181655885,36.84727593205264,20.12453703703704,4.919387535584245,False
4381,ViewsResult.MEDIUM,10100000.0,71,False,False,9,13,10.0,2018-01-25T14:44:02.000Z,1319705.0,81128.0,1528.0,4850.0,False,False,0.3313715418762331,0.06388888888888887,4.646747028353032,0.5065923434766221,0.3055555555555556,4.808873163531848,0.5065923434766221,0.3055555555555556,4.345282779689232,64.78096854369757,101.96481481481482,4.856553340763698,False
4382,ViewsResult.MEDIUM,342000.0,26,False,False,6,6,10.0,2018-01-26T18:00:15.000Z,129130.0,32755.0,98.0,2964.0,False,False,0.0,0.0,5.625785087647362,0.9428090415820636,0.6666666666666666,5.567435449369592,0.9428090415820636,0.6666666666666666,5.0559435341936885,78.35880988192146,112.74944444444445,6.2518467772094235,False
4383,ViewsResult.POOR,612000.0,56,True,False,8,10,24.0,2018-01-27T00:37:01.000Z,10232.0,153.0,262.0,139.0,False,False,0.939595394929562,0.4777777777777778,5.691224680623138,0.8990349764546922,0.4083333333333333,7.225111518566567,1.0417074066107308,0.4388888888888889,5.859797047899352,55.641266300494955,73.71867283950617,6.6284075623164345,False
4384,ViewsResult.MEDIUM,4140000.0,36,False,False,7,8,26.0,2018-01-25T20:46:40.000Z,629985.0,102668.0,351.0,8350.0,False,False,1.140161890172825,0.5055555555555555,4.843527192649302,1.6846231765334287,0.5805555555555556,7.54893326127818,2.278048764368205,0.7222222222222222,6.0799470689765664,98.59477882207523,109.27703703703705,6.597420777904103,False
4385,ViewsResult.POOR,13500000.0,80,True,False,8,15,17.0,2018-01-26T02:20:38.000Z,337664.0,3976.0,122.0,467.0,False,False,2.646379719028233,1.8527777777777776,5.879352801393374,2.444040370643114,1.7333333333333334,7.880055466223261,2.595669470483482,1.75,6.8662368700229965,84.26814737926415,100.2031790123457,7.0429573350913275,False
4386,ViewsResult.POOR,6750000.0,84,False,False,11,14,17.0,2018-01-25T20:15:47.000Z,418300.0,8641.0,662.0,4652.0,False,False,2.001926155814278,1.1083333333333334,4.708173864376025,1.7902319837260072,0.8083333333333333,6.6415359625220445,2.767200695894323,1.2805555555555554,4.795039780817472,63.64060887442933,40.98240740740741,5.5382665870102885,False
4387,ViewsResult.MEDIUM,269000.0,32,False,False,11,5,10.0,2018-01-26T05:01:00.000Z,103116.0,5108.0,177.0,790.0,False,False,0.6851094803022361,0.25833333333333336,4.793844267915902,0.8258506650646074,0.3138888888888889,5.460781328256902,1.3144378698060426,0.5055555555555555,5.429469206891882,72.0123394013782,53.771049382716036,5.508909189743854,False
4388,ViewsResult.GOOD,58600.0,49,False,False,10,8,24.0,2018-01-25T15:30:04.000Z,1556454.0,858.0,169.0,96.0,False,False,,,,,,,,,,,,,False
4389,ViewsResult.GOOD,28100.0,64,False,False,9,12,10.0,2018-01-26T00:00:01.000Z,130569.0,4119.0,227.0,542.0,False,False,0.8051483645197878,0.5416666666666666,4.462491285368106,0.9110052445269212,0.5583333333333333,7.0357473323904225,1.2399939018169444,0.5361111111111111,5.540700874594639,67.61189558619839,47.57391975308642,5.905394717605701,False
4390,ViewsResult.POOR,843000.0,59,True,False,14,8,24.0,2018-01-25T14:15:06.000Z,49762.0,517.0,159.0,163.0,False,False,,,,,,,,,,,,,False
4391,ViewsResult.POOR,6430000.0,27,False,False,8,5,20.0,2018-01-25T21:25:58.000Z,345910.0,13223.0,372.0,2464.0,False,False,0.0,0.0,3.9026954764534683,0.0,0.0,3.429436912908265,0.0,0.0,3.576173347398744,110.34137582528903,177.2982098765432,3.91224504070694,False
4392,ViewsResult.GOOD,845000.0,25,False,False,5,6,10.0,2018-01-25T14:00:31.000Z,1032393.0,193087.0,762.0,11659.0,False,False,2.3020656317402217,1.5222222222222217,5.712443688269588,1.8737773791639891,1.0916666666666666,7.529075002362847,3.1805931584385596,2.0777777777777784,6.2868124628883075,91.42307735938309,88.5587962962963,6.632556604471313,False
