,is_good_result,title_length,is_published_in_week_end,days_since_publish_date,has_special_characters_in_title,probably_sex_words_in_title,title_longest_word_length,title_number_words,category_id,likes,dislikes,comment_count,comments_disabled,ratings_disabled,channel_3_standard_deviations,channel_3_mean,channel_3_entropy,channel_2_standard_deviations,channel_2_mean,channel_2_entropy,channel_1_standard_deviations,channel_1_mean,channel_1_entropy,total_standard_deviation,total_mean,total_entropy,video_error_or_removed
0,ViewsResult.POOR,34,False,875,False,False,8,7,22.0,57527.0,2966.0,15954.0,False,False,1.2626642418530434,0.9888888888888888,5.860801606529182,1.5493029097542028,1.0722222222222222,7.694431146153972,1.6013858774183884,1.102777777777778,6.458834067528198,74.56112964999241,77.37734567901235,6.9460855590348425,False
1,ViewsResult.MEDIUM,62,False,875,False,False,11,10,24.0,97185.0,6146.0,12703.0,False,False,1.1337927990206638,0.8916666666666667,5.5798515091245084,1.4922019523732928,1.1333333333333333,7.329329064972332,1.5237927826461326,1.1833333333333331,5.855173095426871,62.196006768019416,54.57037037037037,6.517452144029749,False
2,ViewsResult.POOR,24,True,876,True,False,6,5,24.0,132235.0,1989.0,17518.0,False,False,1.1060440015358035,0.5666666666666667,5.957547101145396,1.384100077556301,0.6694444444444444,7.73558090180116,1.5977197292808691,0.6583333333333333,6.352177153751065,95.41798772591792,107.958487654321,6.843802609916082,False
3,ViewsResult.POOR,21,False,875,False,False,6,5,28.0,9763.0,511.0,1434.0,False,False,1.3202015371773477,0.7388888888888889,5.55792966937118,1.6065452543644665,1.0888888888888888,6.575690580159942,1.966335110155972,1.2638888888888888,5.76606642713636,90.33254000038336,140.91669753086418,6.22537937278432,False
4,ViewsResult.POOR,35,True,876,False,False,7,8,28.0,23663.0,778.0,3432.0,False,False,0.4848316495393651,0.17777777777777778,5.677314956928671,0.7717224601860152,0.4,7.428300812608801,1.024634834079867,0.4888888888888889,5.532208818606891,87.82452876345242,117.07234567901234,6.453538983310169,False
5,ViewsResult.GOOD,53,False,875,False,False,6,12,25.0,12654.0,1363.0,2368.0,False,False,0.9797958971132712,1.4666666666666666,4.976395749058316,1.1855092149643678,1.4888888888888892,7.488640360436793,1.9136933459209768,2.066666666666667,5.030898379544652,94.59445166173955,145.37444444444444,6.311409343163521,False
6,ViewsResult.POOR,86,False,875,True,False,10,16,17.0,655.0,25.0,177.0,False,False,1.7719849196749828,1.625,5.781431140619153,2.2426766965909506,1.9388888888888889,7.530247340636093,3.11596719225506,2.4138888888888888,6.558705352090912,66.34969361167403,62.28182098765432,6.820437070930523,False
7,ViewsResult.MEDIUM,78,False,875,False,False,10,14,24.0,1576.0,303.0,1279.0,False,False,0.964649075833369,0.7527777777777778,5.704357322137788,1.0773732058536438,0.8805555555555555,7.290573335380928,1.3308309851784752,1.0333333333333334,6.6648452858512295,72.5373433743588,80.41117283950621,6.853236112738812,False
8,ViewsResult.POOR,16,False,875,False,False,8,3,28.0,9419.0,52.0,1230.0,False,False,1.4893422817132285,0.9638888888888888,4.977732284843502,1.8811606608949607,1.2111111111111108,7.167615696175617,2.00554786086551,1.3333333333333333,6.4793211727592075,54.91072383768272,65.10046296296296,6.729208289149466,False
9,ViewsResult.MEDIUM,48,True,876,False,False,7,9,23.0,8011.0,638.0,1256.0,False,False,1.7967541894438288,1.0472222222222225,6.0577530188974364,1.4940623220676648,1.1333333333333333,7.8282813341163395,1.7334735520207845,1.275,6.580942055441994,72.94105779257565,83.47537037037038,7.070651200773147,False
10,ViewsResult.POOR,40,True,876,False,False,15,5,27.0,8421.0,191.0,1214.0,False,False,2.417503048116862,1.7888888888888892,5.364372058463583,1.4939280396506118,1.2388888888888892,7.310651205110861,1.7740216396024535,1.325,6.449573336805653,83.43867588676298,68.09712962962963,6.535806152229697,False
11,ViewsResult.POOR,38,True,876,False,False,9,5,24.0,8676.0,193.0,1392.0,False,False,0.0,0.0,5.740046109990578,0.0,0.0,7.7577151266113935,0.0,0.0,5.977042992467675,71.27412186560288,73.35348765432099,6.744046737150103,False
